,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'20712'}),frozenset({'20711'}),0.033667953667953665,0.02054054054054054,0.011158301158301158,0.33142201834862384,16.135019314340898,0.010466743191067515,1.4649891057438227,0.9707046447079616
1,frozenset({'20711'}),frozenset({'20712'}),0.02054054054054054,0.033667953667953665,0.011158301158301158,0.543233082706767,16.1350193143409,0.010466743191067515,2.115591146702258,0.9576945698419609
2,frozenset({'21931'}),frozenset({'20711'}),0.04637065637065637,0.02054054054054054,0.011505791505791505,0.24812656119900084,12.079845742582936,0.010553313158718564,1.302691927808207,0.9618175993322013
3,frozenset({'20711'}),frozenset({'21931'}),0.02054054054054054,0.04637065637065637,0.011505791505791505,0.5601503759398496,12.079845742582936,0.010553313158718564,2.168080388080388,0.9364527312324993
4,frozenset({'22386'}),frozenset({'20711'}),0.04752895752895753,0.02054054054054054,0.010888030888030888,0.22908204711616573,11.152678609602805,0.009911760409057706,1.2705106370859796,0.9557618040156638
5,frozenset({'20711'}),frozenset({'22386'}),0.02054054054054054,0.04752895752895753,0.010888030888030888,0.5300751879699249,11.152678609602807,0.009911760409057706,2.026858378378379,0.9294263616864716
6,frozenset({'22411'}),frozenset({'20711'}),0.04583011583011583,0.02054054054054054,0.01027027027027027,0.22409435551811288,10.909856781802866,0.009328894918084106,1.262343516154591,0.9519685995225184
7,frozenset({'20711'}),frozenset({'22411'}),0.02054054054054054,0.04583011583011583,0.01027027027027027,0.5,10.909856781802866,0.009328894918084106,1.9083397683397683,0.9273888363292337
8,frozenset({'85099B'}),frozenset({'20711'}),0.08243243243243244,0.02054054054054054,0.013436293436293436,0.16299765807962527,7.935412301244915,0.011743086716059689,1.1701991863155825,0.9524994498332573
9,frozenset({'20711'}),frozenset({'85099B'}),0.02054054054054054,0.08243243243243244,0.013436293436293436,0.6541353383458647,7.935412301244916,0.011743086716059689,2.652967097532315,0.8923111567836391
10,frozenset({'DOT'}),frozenset({'20711'}),0.027413127413127413,0.02054054054054054,0.01054054054054054,0.3845070422535211,18.719421793921423,0.009977460085568194,1.5913414558723482,0.9732596370150955
11,frozenset({'20711'}),frozenset({'DOT'}),0.02054054054054054,0.027413127413127413,0.01054054054054054,0.5131578947368421,18.719421793921423,0.009977460085568194,1.9977460085568195,0.9664305525232677
12,frozenset({'20713'}),frozenset({'20712'}),0.02602316602316602,0.033667953667953665,0.010926640926640927,0.4198813056379822,12.471245201862088,0.010050494178679507,1.6657488471299213,0.9443916044890585
13,frozenset({'20712'}),frozenset({'20713'}),0.033667953667953665,0.02602316602316602,0.010926640926640927,0.32454128440366975,12.471245201862088,0.010050494178679507,1.441948725344311,0.9518628182372139
14,frozenset({'21928'}),frozenset({'20712'}),0.031505791505791504,0.033667953667953665,0.010656370656370656,0.3382352941176471,10.046208850512684,0.009595635127681459,1.4602350922350924,0.9297525531605111
15,frozenset({'20712'}),frozenset({'21928'}),0.033667953667953665,0.031505791505791504,0.010656370656370656,0.3165137614678899,10.046208850512683,0.009595635127681459,1.4169915265217279,0.9318328689259333
16,frozenset({'21929'}),frozenset({'20712'}),0.03386100386100386,0.033667953667953665,0.010810810810810811,0.3192702394526796,9.48291192869771,0.009670780101668133,1.4195531065882827,0.9258990300352248
17,frozenset({'20712'}),frozenset({'21929'}),0.033667953667953665,0.03386100386100386,0.010810810810810811,0.3211009174311927,9.482911928697709,0.009670780101668133,1.423096629447981,0.9257140573985706
18,frozenset({'21930'}),frozenset({'20712'}),0.027335907335907336,0.033667953667953665,0.010772200772200773,0.3940677966101695,11.7045366194993,0.00985185671054397,1.5947857547857551,0.9402660684224723
19,frozenset({'20712'}),frozenset({'21930'}),0.033667953667953665,0.027335907335907336,0.010772200772200773,0.319954128440367,11.704536619499303,0.00985185671054397,1.430291886683118,0.9464273132371314
20,frozenset({'21931'}),frozenset({'20712'}),0.04637065637065637,0.033667953667953665,0.017374517374517374,0.37468776019983346,11.128913978412486,0.015813312264277516,1.5453592378758825,0.9544001331587874
21,frozenset({'20712'}),frozenset({'21931'}),0.033667953667953665,0.04637065637065637,0.017374517374517374,0.5160550458715597,11.128913978412486,0.015813312264277516,1.9705326721440468,0.9418542787633405
22,frozenset({'22379'}),frozenset({'20712'}),0.029073359073359072,0.033667953667953665,0.010579150579150579,0.36387782204515273,10.80783898046956,0.009600310072896946,1.5190981855700019,0.9346479198662232
23,frozenset({'20712'}),frozenset({'22379'}),0.033667953667953665,0.029073359073359072,0.010579150579150579,0.31422018348623854,10.80783898046956,0.009600310072896946,1.4157993827559046,0.9390918667442829
24,frozenset({'22385'}),frozenset({'20712'}),0.026718146718146717,0.033667953667953665,0.011274131274131275,0.42196531791907516,12.533144190486293,0.010374585948331122,1.6717544401544404,0.9454728440199459
25,frozenset({'20712'}),frozenset({'22385'}),0.033667953667953665,0.026718146718146717,0.011274131274131275,0.33486238532110096,12.533144190486293,0.010374585948331122,1.4632789242444417,0.9522726327335301
26,frozenset({'22386'}),frozenset({'20712'}),0.04752895752895753,0.033667953667953665,0.016640926640926642,0.3501218521527214,10.39926143435262,0.015040723900955563,1.4869434362934364,0.9489415264129558
27,frozenset({'20712'}),frozenset({'22386'}),0.033667953667953665,0.04752895752895753,0.016640926640926642,0.4942660550458716,10.39926143435262,0.015040723900955563,1.8833441021196127,0.9353299710356882
